iter	F1	Logloss
0	0.7766990291	0.3453754392
1	0.8631578947	0.2114119015
2	0.8541666667	0.140293733
3	0.8510638298	0.1031289393
4	0.8936170213	0.08544381923
5	0.9032258065	0.07512315578
6	0.8791208791	0.06932518295
7	0.9010989011	0.06077161961
8	0.9010989011	0.05807644702
9	0.8913043478	0.05487128388
10	0.9130434783	0.05062682705
11	0.9230769231	0.04845663132
12	0.9230769231	0.04569373395
13	0.9230769231	0.0431407061
14	0.9230769231	0.04005598118
15	0.9230769231	0.03913485969
16	0.9450549451	0.03736212928
17	0.9450549451	0.03600766707
18	0.9450549451	0.03433610955
19	0.9450549451	0.03280807584
20	0.9450549451	0.03154100413
21	0.9565217391	0.02995211042
22	0.9565217391	0.0288238859
23	0.9565217391	0.02711411746
24	0.967032967	0.02631059819
25	0.967032967	0.02586351956
26	0.967032967	0.02452056262
27	0.967032967	0.02342915326
28	0.9777777778	0.02258657505
29	0.9777777778	0.02177547922
30	0.9777777778	0.02146706289
31	0.9777777778	0.02092751539
32	0.9777777778	0.02046664741
33	0.9777777778	0.01997790323
34	0.989010989	0.01931832205
35	0.989010989	0.01888725987
36	0.989010989	0.01866513578
37	0.989010989	0.01787382382
38	1	0.01742062277
39	1	0.01627141046
40	1	0.01610333718
41	1	0.01559938981
42	1	0.01483847727
43	1	0.01433284081
44	1	0.01424373899
45	1	0.01413910452
46	1	0.01341511696
47	1	0.01275443197
48	1	0.0123746416
49	1	0.01182705181
50	1	0.01174141992
51	1	0.0114979167
52	1	0.01135132612
53	1	0.01120230269
54	1	0.01082395534
55	1	0.01046753138
56	1	0.01027978196
57	1	0.009818488585
58	1	0.009743512546
59	1	0.009692621648
60	1	0.009390418106
61	1	0.009123937729
62	1	0.008955302113
63	1	0.008722331712
64	1	0.008517343171
65	1	0.008372806599
66	1	0.008142540823
67	1	0.008088765965
68	1	0.007880921267
69	1	0.007699611236
70	1	0.00750829249
71	1	0.007477307111
72	1	0.007427686853
73	1	0.007366081716
74	1	0.007141377418
75	1	0.007093697873
76	1	0.006921846039
77	1	0.006900061671
78	1	0.00671423698
79	1	0.006673013504
80	1	0.006590096666
81	1	0.006434993911
82	1	0.006318929939
83	1	0.00629980015
84	1	0.006281434968
85	1	0.006205460073
86	1	0.006106761037
87	1	0.006086090216
88	1	0.005955525112
89	1	0.005738928784
90	1	0.005713395405
91	1	0.005654270725
92	1	0.00555919315
93	1	0.005465311142
94	1	0.00534752298
95	1	0.005279613306
96	1	0.005210790968
97	1	0.005171610037
98	1	0.005117239132
99	1	0.005071954199
