iter	Passed	Remaining
0	12	1274
1	27	1326
2	46	1494
3	67	1615
4	87	1658
5	105	1649
6	125	1665
7	141	1630
8	158	1602
9	172	1554
10	187	1517
11	202	1487
12	222	1486
13	236	1455
14	254	1439
15	269	1416
16	284	1390
17	305	1390
18	320	1366
19	338	1352
20	357	1344
21	382	1354
22	399	1338
23	418	1325
24	446	1338
25	468	1332
26	486	1314
27	505	1298
28	552	1352
29	572	1335
30	593	1321
31	618	1313
32	639	1297
33	659	1279
34	684	1271
35	704	1252
36	724	1232
37	741	1210
38	759	1188
39	780	1170
40	801	1153
41	822	1135
42	838	1110
43	854	1086
44	870	1063
45	891	1046
46	916	1033
47	939	1017
48	968	1008
49	993	993
50	1014	975
51	1050	969
52	1084	961
53	1116	951
54	1143	935
55	1170	919
56	1196	902
57	1233	893
58	1264	878
59	1287	858
60	1308	836
61	1343	823
62	1368	803
63	1398	786
64	1424	767
65	1449	746
66	1470	724
67	1489	700
68	1509	678
69	1527	654
70	1544	630
71	1560	606
72	1578	583
73	1594	560
74	1609	536
75	1627	513
76	1644	491
77	1660	468
78	1678	446
79	1697	424
80	1712	401
81	1730	379
82	1747	357
83	1764	336
84	1780	314
85	1795	292
86	1811	270
87	1825	248
88	1840	227
89	1859	206
90	1873	185
91	1890	164
92	1907	143
93	1923	122
94	1943	102
95	1967	81
96	1988	61
97	2016	41
98	2047	20
99	2072	0
